"vesselCode","obs_foID","opeID","SubArea","Target","SettingStartDatetime","SettingStartLatitude","SettingStartLongitude","SettingStartDepth","species3ACode","speciesScientificName","speciesEnglishName","bsLength_cm","bsWeight_Kg","bsSex","src","datasetID","Season","MU"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",67,3,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",72,3,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",89,7,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",67,2.5,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",107,12.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",63,2,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",74,3.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",59,2,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",109,12,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",70,2,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",79,4.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",82,5.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",87,5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",101,10.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",62,1.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",127,25,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",76,3.5,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",49,0.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",92,8.5,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",74,4,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",101,10,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",81,6,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",84,6,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",66,2.5,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",65,2,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",75,4,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",78,4,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",84,6,"M","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",95,8.5,"F","OBS",107,2019,"DC"
10668,"O6194","H21111","3b","TOP",2019-02-24 22:05:00,-44.88,44.731667,1340,"TOP","Dissostichus eleginoides","Patagonian toothfish",96,9,"M","OBS",107,2019,"DC"
10668,"O6195","H21112","3b","TOP",2019-02-24 23:40:00,-44.941667,44.813333,1270,"TOP","Dissostichus eleginoides","Patagonian toothfish",64,2,"M","OBS",107,2019,"DC"
10668,"O6195","H21112","3b","TOP",2019-02-24 23:40:00,-44.941667,44.813333,1270,"TOP","Dissostichus eleginoides","Patagonian toothfish",58,1.5,"M","OBS",107,2019,"DC"
10668,"O6195","H21112","3b","TOP",2019-02-24 23:40:00,-44.941667,44.813333,1270,"TOP","Dissostichus eleginoides","Patagonian toothfish",78,4.5,"M","OBS",107,2019,"DC"
10668,"O6195","H21112","3b","TOP",2019-02-24 23:40:00,-44.941667,44.813333,1270,"TOP","Dissostichus eleginoides","Patagonian toothfish",73,3.5,"M","OBS",107,2019,"DC"
10668,"O6195","H21112","3b","TOP",2019-02-24 23:40:00,-44.941667,44.813333,1270,"TOP","Dissostichus eleginoides","Patagonian toothfish",98,9.5,"F","OBS",107,2019,"DC"
10668,"O6195","H21112","3b","TOP",2019-02-24 23:40:00,-44.941667,44.813333,1270,"TOP","Dissostichus eleginoides","Patagonian toothfish",79,4.5,"M","OBS",107,2019,"DC"
